node_id,x,y,longitude,latitude,nearest_DAUID,nearest_Population_Density_Demand,nearest_Commute_PT_Demand,nearest_Bus_Stop_Proximity,nearest_Route_Coverage_Percent,nearest_Bus_Stop_Density,nearest_Income_Demand,nearest_Overall_Demand,nearest_Employment_Demand,nearest_Commute_Duration_Demand,nearest_Overall_Accessibility,nearest_demand_dist,nearest_school_dist,schools_within_0.5km,schools_within_1.0km,schools_within_2.0km,nearest_healthcare_dist,healthcare_within_0.5km,healthcare_within_1.0km,healthcare_within_2.0km,nearest_pop_dist,population_within_0.5km,population_within_1.0km,population_within_2.0km,route_connections,bus_stop_density_per_km2,ridership_proxy
N926,-13735033.421026,6180007.069357,-123.38390450000094,48.43783810000288,2021S051259170817,3,1,5,5,1,2,16,5,1,11,0.32628789621385157,1.0626011845901495,0,0,3,0.3500907843183927,1,7,18,0.514842610607957,2136,14476,33696,1,100.26761414789407,22.294720714690296
N927,-13733084.550701,6177948.846257,-123.3663975000038,48.42557020000139,2021S051259170811,1,3,5,4,2,5,16,3,3,11,0.14134185133107838,0.7390374078051873,0,1,4,0.08294990797657108,11,20,38,0.30000438757023123,4230,16618,59210,3,98.6760647169751,34.340521539057065
N928,-13733043.262301,6177386.607711,-123.36602659999602,48.42221850000222,2021S051259170814,3,3,5,5,1,3,15,1,1,12,0.19328840557486493,0.6104796271103919,0,1,4,0.13633936700807187,7,21,37,0.19472690433616013,2169,19561,56286,4,96.44789551368858,29.407492358609083
N929,-13733430.019608,6182155.732179,-123.36950089999725,48.450641900000534,2021S051259170126,2,2,5,3,2,2,15,4,1,9,0.6411074758701969,0.8260074805414139,0,2,2,0.40912990571843943,1,2,5,0.2873877396992724,2083,6204,26665,1,36.28732702495214,7.681291675244453
N930,-13733128.622087,6181350.478144,-123.36679340000015,48.44584380000067,2021S051259170127,1,4,5,3,3,4,18,4,1,10,0.16565292236270585,0.4589690921452418,1,1,3,0.23818575630272953,2,3,16,0.3240454469901271,3541,10834,37786,2,78.6225418873963,43.19094494397137
N931,-13728764.040888,6177253.119874,-123.32758570000172,48.42142269999745,2021S051259170197,3,3,4,1,1,1,13,2,1,7,0.17477426507040436,0.18658679237865414,1,1,2,0.5448508290897274,0,9,19,0.4409295238839967,2484,9203,31187,4,68.75493541569878,22.24402403668001
N932,-13733216.486561,6175726.847269,-123.36758269999942,48.41232280000211,2021S051259170555,4,1,5,3,5,3,16,2,5,10,0.19322862856056897,1.0336665115334063,0,0,2,0.6226380395998196,0,4,26,0.24416420049817875,4065,12571,36698,2,60.79718826110402,30.634028806450083
N933,-13733211.610767,6175723.392462,-123.36753889999667,48.41230220000044,2021S051259170555,4,1,5,3,5,3,16,2,5,10,0.19501824975945184,1.0376165924126188,0,0,2,0.6266043444259585,0,4,26,0.24666750537244686,4065,12571,36698,3,60.47887837492023,30.525970278597498
N934,-13732534.799395,6180757.692234,-123.36145899999735,48.44231140000035,2021S051259170151,3,5,5,2,4,4,21,1,5,12,0.17668294966902617,0.4211871423825764,1,1,3,0.45777338091747444,2,4,32,0.5140595928749555,2352,14073,46615,4,99.63099437552648,59.345984583561474
N935,-13732079.536074,6180843.895686,-123.35736930000182,48.44282510000194,2021S051259170154,4,4,3,1,1,3,21,3,2,7,0.09294726744242957,0.43122041057815297,1,1,3,0.48724494549623504,1,3,25,0.456546251359288,3580,15400,45485,4,96.12958562750478,66.18380919037011
N936,-13729087.067786,6179198.092284,-123.33048749999828,48.43301660000152,2021S051259170600,1,4,4,4,1,4,19,2,3,11,0.15957122353091413,1.2629057228313005,0,0,5,0.24529195291906347,4,12,26,0.6530276272806963,2966,12514,35975,1,66.20845632622846,47.83018272912652
N937,-13729437.245508,6179228.96338,-123.33363319999658,48.43320060000295,2021S051259170601,3,3,4,1,1,2,16,3,1,10,0.16884684812262005,1.3045881023664283,0,0,5,0.4788329832104589,2,15,29,0.6701413790939394,3531,14581,43225,1,76.07606279792597,35.05233352679192
N938,-13731192.319732,6181391.3927,-123.34939929999842,48.44608760000089,2021S051259170130,4,2,3,2,4,5,18,2,2,12,0.15629502491892147,0.8279576744947428,0,1,5,0.813399261895017,0,3,16,0.15552109737101488,4469,12357,33047,1,59.84225860255265,43.45584446078365
N939,-13731395.388747,6181356.28471,-123.35122349999746,48.445878400002385,2021S051259170128,2,3,3,1,2,2,17,3,4,9,0.22154244646946333,0.6933344320923561,0,1,5,0.9283707754373932,0,2,16,0.27950705089523936,3819,11904,36848,1,61.75211791965539,34.53651088708211
N940,-13731730.939088,6182448.660717,-123.3542377999966,48.45238720000173,2021S051259170129,2,1,3,3,1,2,15,3,4,9,0.42819261245277995,0.410231585216924,1,2,4,1.3709156662915265,0,0,10,0.3276937992032497,2259,6176,22842,1,27.374650211806,13.31354498835487
N941,-13731858.533489,6181993.419899,-123.35538400000245,48.449674800002384,2021S051259170129,2,1,3,3,1,2,15,3,4,9,0.17934121163094632,0.5434961152076317,0,2,4,1.175135139552731,0,0,12,0.03530438091238141,3310,9185,28414,1,41.69859509007658,24.8843233692701
N942,-13731511.528372,6179529.039611,-123.35226679999977,48.434989100002745,2021S051259170157,3,2,3,3,3,2,16,5,2,7,0.2208930630557406,0.1987321346676471,1,1,4,0.3819550818029365,4,8,45,0.5387420593548542,4583,17178,61734,4,103.45071300973197,29.79588055380931
N943,-13731829.590421,6179552.143485,-123.35512399999892,48.43512679999732,2021S051259170145,3,3,5,2,3,4,17,3,4,11,0.0758563814528788,0.33769460141595165,1,1,4,0.45177865341141027,3,8,48,0.4214469092181521,5414,16253,62772,3,111.09015027814294,46.192304438395105
N944,-13732473.273113,6177706.698518,-123.3609063000024,48.424126700000414,2021S051259170815,5,1,5,5,1,4,19,4,1,7,0.19638192754716072,0.3145025338433105,1,1,4,0.07926715970281961,16,21,43,0.19627838481453186,8461,22301,62827,2,106.31550198538609,43.86120413717851
N945,-13729421.927946,6178394.359027,-123.33349559999598,48.42822589999742,2021S051259170177,5,2,4,3,1,5,21,3,4,10,0.10326964700360518,0.9337347102086244,0,1,6,0.16825810371056013,8,14,36,0.2925952080318484,5245,13878,45251,1,92.3098669932993,62.089787650423034
N946,-13732116.805839,6181082.759484,-123.35770409999716,48.44424850000234,2021S051259170154,4,4,3,1,1,3,21,3,2,7,0.23616481812478812,0.2934505609197725,1,1,3,0.6408636264759979,0,3,20,0.6150095315183242,2840,15008,39064,3,79.57747154594767,53.705409641339244
N947,-13731708.363496,6180517.025269,-123.35403500000317,48.44087720000039,2021S051259170154,4,4,3,1,1,3,21,3,2,7,0.2355250477116207,0.7528956337342664,0,2,5,0.4231194007029531,1,3,32,0.3191006723812237,3754,17523,49026,1,86.89859892817486,53.75471957875908
N948,-13731390.880308,6180576.595667,-123.35118300000087,48.441232199999675,2021S051259170156,4,4,3,1,1,3,18,2,2,7,0.15986759238397633,0.8787002291916464,0,2,6,0.6209508456839858,0,4,29,0.506017433622818,2997,16691,49480,2,77.98592211502871,47.38796499933024
